index,Age,Population,Year
0,0,1810999.9999999995,1900
1,1,1835000.0,1900
2,2,1845999.9999999998,1900
3,3,1848000.0000000002,1900
4,4,1841000.0000000012,1900
5,5,1826999.9999999988,1900
6,6,1806000.0000000002,1900
7,7,1780000.0000000016,1900
8,8,1749999.9999999998,1900
9,9,1716999.9999999986,1900
10,10,1682000.0000000014,1900
11,11,1644000.0000000012,1900
12,12,1610999.9999999993,1900
13,13,1585000.0000000002,1900
14,14,1564000.0000000002,1900
15,15,1544000.0,1900
16,16,1518999.9999999988,1900
17,17,1505000.000000001,1900
18,18,1499999.9999999986,1900
19,19,1499999.9999999986,1900
20,20,1499999.9999999986,1900
21,21,1499999.9999999986,1900
22,22,1490999.999999999,1900
23,23,1465000.0000000012,1900
24,24,1426999.9999999998,1900
25,25,1392000.000000001,1900
26,26,1356000.0,1900
27,27,1316000.0000000005,1900
28,28,1275000.0000000002,1900
29,29,1232999.9999999993,1900
30,30,1191000.0000000002,1900
31,31,1144999.9999999998,1900
32,32,1108000.000000001,1900
33,33,1082000.0000000005,1900
34,34,1062999.999999999,1900
35,35,1043999.9999999992,1900
36,36,1024999.9999999995,1900
37,37,1004000.0000000001,1900
38,38,977000.0000000008,1900
39,39,945999.9999999998,1900
40,40,917000.0000000006,1900
41,41,888000.0000000001,1900
42,42,858999.9999999997,1900
43,43,823999.9999999994,1900
44,44,789000.0000000007,1900
45,45,752999.9999999998,1900
46,46,718000.0000000005,1900
47,47,688000.0000000001,1900
48,48,666000.0000000002,1900
49,49,649999.9999999995,1900
50,50,634999.9999999997,1900
51,51,622000.0,1900
52,52,600000.0000000003,1900
53,53,571000.0,1900
54,54,533999.9999999997,1900
55,55,499999.99999999977,1900
56,56,465000.00000000023,1900
57,57,437000.00000000023,1900
58,58,416999.9999999998,1900
59,59,405000.0000000001,1900
60,60,390999.99999999977,1900
61,61,379999.9999999999,1900
62,62,364000.00000000006,1900
63,63,344999.9999999997,1900
64,64,321999.99999999994,1900
65,65,302000.00000000006,1900
66,66,281000.0000000001,1900
67,67,261999.99999999994,1900
68,68,243000.00000000003,1900
69,69,224000.0,1900
70,70,206999.99999999994,1900
71,71,191000.00000000015,1900
72,72,176000.00000000006,1900
73,73,162999.99999999988,1900
74,74,151000.00000000006,1900
75,75,108421.46398963187,1900
76,76,77849.01885804077,1900
77,77,55897.24482108121,1900
78,78,40135.326489210674,1900
79,79,28817.87810976456,1900
80,80,20691.66941329883,1900
81,81,14856.849976574647,1900
82,82,10667.304872474464,1900
83,83,7659.107554693521,1900
84,84,5499.147254027887,1900
85,85,3948.242174472427,1900
86,86,2834.653852941853,1900
87,87,2035.0698125022234,1900
88,88,1460.948635614328,1900
89,89,1048.7153879748184,1900
90,90,752.7216896051176,1900
91,91,540.1908712486362,1900
92,92,387.58847126491037,1900
93,93,278.0161623598905,1900
94,94,199.34052632757727,1900
95,95,142.84946789369363,1900
96,96,102.2874865241402,1900
97,97,73.16297765076519,1900
98,98,52.25085776719332,1900
99,99,37.23543690889811,1900
100,100,26.453992234374905,1900
0,0,1849999.9999999995,1901
1,1,1868999.999999999,1901
2,2,1875999.9999999993,1901
3,3,1875999.9999999993,1901
4,4,1865000.0000000002,1901
5,5,1848999.9999999986,1901
6,6,1826000.0000000014,1901
7,7,1798999.9999999998,1901
8,8,1768000.0000000007,1901
9,9,1734999.9999999986,1901
10,10,1699000.0000000005,1901
11,11,1660999.9999999986,1901
12,12,1630000.000000001,1901
13,13,1605000.0000000005,1901
14,14,1585999.9999999995,1901
15,15,1567000.0000000012,1901
16,16,1544000.0,1901
17,17,1530999.9999999998,1901
18,18,1527000.0000000012,1901
19,19,1529000.0000000012,1901
20,20,1529999.9999999988,1901
21,21,1532000.0000000002,1901
22,22,1523999.9999999988,1901
23,23,1497999.9999999993,1901
24,24,1459999.999999999,1901
25,25,1424000.0000000007,1901
26,26,1387000.0000000005,1901
27,27,1348999.999999999,1901
28,28,1306000.0,1901
29,29,1263000.0000000005,1901
30,30,1216999.9999999998,1901
31,31,1169999.9999999998,1901
32,32,1130999.9999999995,1901
33,33,1106000.0000000007,1901
34,34,1088999.9999999995,1901
35,35,1069999.9999999998,1901
36,36,1052000.0,1901
37,37,1031000.0000000002,1901
38,38,1002999.9999999998,1901
39,39,969999.9999999999,1901
40,40,940000.0000000006,1901
41,41,909999.9999999997,1901
42,42,876999.9999999992,1901
43,43,843000.0000000006,1901
44,44,808000.0000000006,1901
45,45,772999.9999999997,1901
46,46,733999.9999999995,1901
47,47,704000.0,1901
48,48,682999.9999999995,1901
49,49,667000.0000000002,1901
50,50,651000.0000000001,1901
51,51,639000.0000000006,1901
52,52,619000.0000000003,1901
53,53,587000.0000000005,1901
54,54,549000.0000000005,1901
55,55,513999.9999999996,1901
56,56,477000.00000000006,1901
57,57,445999.9999999996,1901
58,58,427000.00000000035,1901
59,59,415000.00000000006,1901
60,60,400999.99999999994,1901
61,61,386999.99999999994,1901
62,62,371999.9999999998,1901
63,63,352999.9999999998,1901
64,64,330000.0000000001,1901
65,65,308000.0000000001,1901
66,66,287999.9999999999,1901
67,67,267999.99999999977,1901
68,68,249999.9999999998,1901
69,69,231000.0000000001,1901
70,70,212000.00000000017,1901
71,71,196000.0000000001,1901
72,72,178999.99999999994,1901
73,73,166000.00000000003,1901
74,74,153999.99999999988,1901
75,75,110515.12902956613,1901
76,76,79308.97055655315,1901
77,77,56914.41573989211,1901
78,78,40843.35445017456,1901
79,79,29310.237891603538,1901
80,80,21033.698143809244,1901
81,81,15094.18388945009,1901
82,82,10831.795179586466,1901
83,83,7772.966336699392,1901
84,84,5577.851220045157,1901
85,85,4002.565179909634,1901
86,86,2872.0886552760876,1901
87,87,2060.821913752993,1901
88,88,1478.6305001676194,1901
89,89,1060.830996374089,1901
90,90,761.0044766129564,1901
91,91,545.8392092159443,1901
92,92,391.4296115228817,1901
93,93,280.6202594923759,1901
94,94,201.09986256842075,1901
95,95,144.03343801968305,1901
96,96,103.08071473422177,1901
97,97,73.69170783992803,1901
98,98,52.60120012906509,1901
99,99,37.465965478168094,1901
100,100,26.604428568853884,1901
0,0,1891999.999999999,1902
1,1,1906000.0000000002,1902
2,2,1910000.0000000005,1902
3,3,1904000.0,1902
4,4,1890000.0000000007,1902
5,5,1873000.0000000016,1902
6,6,1848000.0000000002,1902
7,7,1818000.0000000012,1902
8,8,1788000.0,1902
9,9,1751999.999999999,1902
10,10,1716999.9999999986,1902
11,11,1680999.9999999998,1902
12,12,1648000.0000000007,1902
13,13,1625000.0000000012,1902
14,14,1610000.0,1902
15,15,1591000.0000000005,1902
16,16,1571999.9999999998,1902
17,17,1559999.9999999998,1902
18,18,1557999.9999999995,1902
19,19,1560999.9999999986,1902
20,20,1563000.000000001,1902
21,21,1566000.0000000005,1902
22,22,1557000.000000001,1902
23,23,1532000.0000000002,1902
24,24,1495000.000000001,1902
25,25,1457000.0000000002,1902
26,26,1421999.9999999995,1902
27,27,1380999.999999999,1902
28,28,1338000.000000001,1902
29,29,1291999.9999999995,1902
30,30,1246000.0000000002,1902
31,31,1196999.9999999993,1902
32,32,1156999.9999999998,1902
33,33,1132000.0000000002,1902
34,34,1115000.0000000007,1902
35,35,1096000.000000001,1902
36,36,1080999.9999999993,1902
37,37,1059000.0000000002,1902
38,38,1030000.0,1902
39,39,995000.0,1902
40,40,963000.0000000002,1902
41,41,932000.0000000002,1902
42,42,898999.9999999995,1902
43,43,862999.9999999993,1902
44,44,826999.9999999995,1902
45,45,790000.0000000003,1902
46,46,753999.9999999997,1902
47,47,722999.9999999999,1902
48,48,701000.0,1902
49,49,686000.0,1902
50,50,671000.0,1902
51,51,657000.0,1902
52,52,637000.0000000003,1902
53,53,604000.0000000002,1902
54,54,565000.0000000003,1902
55,55,527000.0,1902
56,56,490000.0,1902
57,57,458999.99999999977,1902
58,58,438000.00000000035,1902
59,59,423999.9999999998,1902
60,60,409000.0000000001,1902
61,61,395999.9999999999,1902
62,62,379999.9999999999,1902
63,63,360000.0000000001,1902
64,64,337000.0,1902
65,65,315999.99999999994,1902
66,66,295999.99999999977,1902
67,67,275000.0000000002,1902
68,68,255999.99999999985,1902
69,69,238000.0,1902
70,70,217999.99999999988,1902
71,71,200999.99999999997,1902
72,72,185000.00000000006,1902
73,73,170000.00000000012,1902
74,74,156000.0,1902
75,75,111910.27505735907,1902
76,76,80281.3923241765,1902
77,77,57591.61087847983,1902
78,78,41314.52052418258,1902
79,79,29637.73681271121,1902
80,80,21261.099780129607,1902
81,81,15251.906691566684,1902
82,82,10941.059577721631,1902
83,83,7848.564035463977,1902
84,84,5630.083902367043,1902
85,85,4038.600896589542,1902
86,86,2896.9101868589755,1902
87,87,2077.8893918186236,1902
88,88,1490.3440461384232,1902
89,89,1068.8534865324684,1902
90,90,766.486540486341,1902
91,91,549.5759407644045,1902
92,92,393.9696190848101,1902
93,93,282.3414765334869,1902
94,94,202.26219649551803,1902
95,95,144.81529336845833,1902
96,96,103.60429999632717,1902
97,97,74.04054838796857,1902
98,98,52.8322411465376,1902
99,99,37.61792389730995,1902
100,100,26.703547435054972,1902
0,0,1930000.0000000014,1903
1,1,1937999.9999999995,1903
2,2,1937999.9999999995,1903
3,3,1927000.0000000014,1903
4,4,1912000.000000001,1903
5,5,1889000.0000000002,1903
6,6,1863999.999999999,1903
7,7,1834000.0000000014,1903
8,8,1801000.0,1903
9,9,1766999.9999999986,1903
10,10,1732999.999999999,1903
11,11,1694999.9999999998,1903
12,12,1665999.9999999998,1903
13,13,1644000.0000000012,1903
14,14,1630999.9999999993,1903
15,15,1615000.0000000007,1903
16,16,1598000.0000000002,1903
17,17,1589000.000000001,1903
18,18,1588000.0000000007,1903
19,19,1592000.0000000007,1903
20,20,1595000.0000000005,1903
21,21,1598000.0000000002,1903
22,22,1591000.0000000005,1903
23,23,1565000.0000000012,1903
24,24,1527000.0000000012,1903
25,25,1491999.9999999998,1903
26,26,1454000.0,1903
27,27,1412999.999999999,1903
28,28,1367999.9999999995,1903
29,29,1321000.000000001,1903
30,30,1273000.0000000007,1903
31,31,1221000.0000000005,1903
32,32,1181000.000000001,1903
33,33,1155000.0000000005,1903
34,34,1141000.0000000002,1903
35,35,1124000.0000000005,1903
36,36,1106999.9999999998,1903
37,37,1086000.0000000002,1903
38,38,1057000.0000000005,1903
39,39,1020000.0000000005,1903
40,40,984999.9999999994,1903
41,41,950999.9999999993,1903
42,42,918000.0000000002,1903
43,43,881000.0000000005,1903
44,44,844999.9999999993,1903
45,45,809000.0,1903
46,46,771000.0000000001,1903
47,47,739999.9999999999,1903
48,48,719999.9999999995,1903
49,49,704000.0,1903
50,50,689000.0000000006,1903
51,51,676000.0000000001,1903
52,52,654000.0000000002,1903
53,53,620999.9999999997,1903
54,54,579999.9999999997,1903
55,55,540000.0000000001,1903
56,56,501000.0,1903
57,57,468000.0000000003,1903
58,58,446999.9999999999,1903
59,59,433999.99999999965,1903
60,60,418000.00000000023,1903
